:ID(PKG),name,download_count
0,meety,140
1,pyzayo,92
2,blacksock,72
3,zc-intid,208
4,bistory,95
5,odoo14-addon-delivery-carrier-agency,63
6,fastgpu,265
7,sqlalchemy-extras,825
8,hvofuncs,94
9,unwatermark-musicnotes,85
10,pydata,1214
11,tfdevops,95
12,nxmodtoolkit,116
13,cloudcomponents-cdk-deletable-bucket,1631
14,flask-dt,269
15,nscrap,105
16,price-parser,418082
17,sentiment-algorithm,65
18,scitrix,385
19,zephyr-python-api,378
20,campfire-basic,285
21,psenti,44
22,supriya,3885
23,saigen-dep-test,128
24,django-mptt-admin,80400
25,bpl-lib,81
26,redgettext-babel,81
27,gromacs-py,727
28,object-detection,11901
29,map-downloader,122
30,moboff,108
31,osmosis-azure-driver,200
32,facepixellate,156
33,quadrantanalysis,107
34,odoo10-addon-hr-employee-seniority,118
35,newsapi-python,62078
36,forcedimension,285
37,take-forecast,6201
38,common-python-programs,70
39,goedwig,134
40,stratum-core,92
41,djpj,5073
42,image-utils-fdh,106
43,ansible-api,229
44,meupacote,94
45,jira-helper,331
46,multirun,156
47,tesp-support,886
48,yamlflow,175
49,hubitatmaker,27802
50,iarray-community,225
51,iracingdataapi,1472
52,lumflux,172
53,rusentiment,59
54,vnpy-tora,986
55,errr,2930
56,powerline-taskwarrior,243
57,endaq-device,94
58,purplship-sf-express,165
59,pkgreloader,78
60,unoserver,25619
61,twomartens-calendarsync,134
62,afacinemas-scraper,587
63,yaqd-rgb,494
64,aprespy,203
65,royalnet-console,521
66,positions-backtester,221
67,pisense,171
68,levmatch,512
69,spice-stew,242
70,gt-webcore,338
71,goonj,256
72,sqlintuitive,242
73,pl-sweep,63
74,femtoapi,139
75,ca-taxes,48
76,arabic,391
77,pod2gen,716
78,ldap-filter,2845
79,light-aligner,147
80,nyaggle,560
81,dropland,2665
82,pyclicksign,273
83,evm-trace,67599
84,tqpy,201
85,neurokernel,322
86,mypy-boto3-lexv2-models,17187
87,mcdl,123
88,scib,1662
89,odoo8-addon-account-payment-term-multi-day,92
90,projectslib,91
91,flake8-pyprojecttoml,6419
92,easytxt,1292
93,scaleplan-pgmigrate,42
94,fastapi-key-auth,11383
95,django-clever-cache,51
96,islog,75
97,txrc,127
98,odoo8-addon-portal-welcome-email-template,56
99,synpla-deleteconfirm,50
100,parquet-to-root,109
101,envoyutils,89
102,aioremootio,1700
103,odoo8-addon-server-env-magentoerpconnect,53
104,powercmd,144
105,neofs-testlib,438
106,sparc-config,901
107,changeos,125
108,ceramatch,130
109,alibabacloud-aligeniessp-1-0,950
110,viur-core,1200
111,eniam,1229
112,odoo11-addon-auth-totp,71
113,requests-http-signature,619975
114,imohash,155650
115,odoo14-addon-stock-barcodes-gs1-expiry,82
116,sstools,459
117,cvpartnerpy,177
118,aiida-core,31461
119,mbclient,123
120,davidtesting,94
121,drf-problems,1632
122,popari,1395
123,helpful-django,314
124,cluwards,126
125,optbinning,1683823
126,echo-lang,156
127,s3fs-itg,203
128,odoo12-addon-connector-algolia,224
129,hobart,3734
130,bibtexgen,97
131,odoo14-addon-stock-picking-carrier-from-rule,62
132,pypdsh,126
133,telemetrix-extensions,69
134,odoo14-addon-partner-contact-access-link,90
135,playground-resumeparser,38
136,superhelper,243
137,pandas-pipeline-graphviz,607
138,python-lsp-server,619720
139,dirtydf,66
140,kmail,47
141,olm-karst,110
142,petstore-test,177
143,dbt-init,493
144,annotell-auth,15012
145,odoo11-addon-purchase-order-general-discount,163
146,django-admin-rangefilter-jalali,810
147,tjpy-subprocess-util,101
148,stash-pull-request,87
149,ccml2021,229
150,stactools-alos-dem,336
151,pytropd,165
152,konnoohmachi,1538
153,discretetimeanalysis,213
154,pop-evbus,72427
155,automatiseca,145
156,requests-oauthlib,480292010
157,qqbot-linger,164
158,apoclypsebm,203
159,kwonfig,134
160,h2o-wave-ml,20344
161,mlc-tools,8502
162,wq-create,975
163,j2s3-cli,157
164,odoo14-addons-oca-account-analytic,520
165,docx-parser,158
166,starlette-auth-toolkit,2243
167,shaped-bloom-filter,4139
168,keynote-parser,933
169,odoo11-addon-procurement-auto-create-group,161
170,odoo11-addon-test-component,106
171,to7m-qt,96
172,unacastclient,765
173,clutter,2199
174,django-react-admin,102
175,zodiac-sign,225
176,kerko,423
177,fastai,1745612
178,yandex-rasp,82
179,vhh-cmc,306
180,pyopenacoustics,47
181,stamina,799
182,postpanda-helper,122
183,cppython-pdm,2855
184,django-fixtures,133
185,ocean-data-gateway,576
186,tuttusa-proxy,61
187,grimoirelab-toolkit,8314
188,userspacefs,2795
189,able,601
190,mb-std,892
191,typro,213
192,resdk-bcm,74
193,featuretools4spark,134
194,tradingview-ta1,62
195,bansoko,301
196,fin-crawler,228
197,eqxvision,3443
198,eeg-eyetracking-parser,1088
199,docker-autotag,1638
200,sparclclient,2558
201,flask-http-middleware,4965
202,odoo12-addon-calendar-ical-enhancements,61
203,odoo8-addons-oca-intrastat-extrastat,52
204,download-accelerator,96
205,xendit-python,16813
206,utilsd,3914
207,crisp-api,10712
208,impactlearning,246
209,testsuite,2364
210,argo-workflow-tools,4496
211,orbis-addon-repoman,296
212,pytaxa,55
213,askbot-selimgul,83
214,odoo13-addon-payment-environment,92
215,anawsutils,154
216,radikoplaylist,81
217,shoutcast-api,130
218,ortools,4587162
219,easycv,191
220,sphinxcontrib-domaintools,10519
221,bart-simulator,131
222,sitez,63
223,zdsync,72
224,configurable-lti-consumer-xblock,428
225,ip2instance,107
226,crams-contact,166
227,rstcheck-core,140052
228,pufo-twitter-bot,76
229,amocrm-client,910
230,procyonlexer,106
231,python-color-transfer,15503
232,mpa-gen,63
233,pytorch-warmup-scheduler,115
234,differential-evolution,639
235,ate,279
236,dummit,78
237,lotify,11594
238,plit,107
239,property-manager3,1540
240,basic-model,178
241,system-info,423
242,gridappsd-2030-5,166
243,joj-submitter,291
244,tcp-h2-describe,95
245,drf-stripe-subscription,666
246,hekatomb,584
247,yschema,2490
248,basecore,286
249,django-modular-user,113
250,influxdb-logging,130
251,odoo10-addon-sale-order-line-date,127
252,algo-trade,430
253,allenlib,484
254,mk312,155
255,lucid,10982
256,python-otrs,4727
257,redis-tasks,3029
258,static-markdown,136
259,viridicle,499
260,odoo11-addon-account-early-payment-discount,159
261,k2u-ops-xx,69
262,thumbor-video-engine,481
263,qlik-sdk,1015
264,pychai,86
265,cba,135
266,moleculex,164
267,odoo14-addon-account-invoice-inter-company-queued,235
268,odoo12-addons-oca-survey,76
269,python-retry,114
270,pyravin,117
271,mysqlsp,70
272,brainiac-client,171
273,helloworld-bvd,54
274,oommfpy,255
275,tf-nightly-gpu,161209
276,jupyter-book,305788
277,odoo12-addon-hr-timesheet-sheet-attendance,135
278,hm3u8dl-cli,2635
279,commonpy,2647
280,hackme,381
281,qiime2utils,200
282,tfli2c,74
283,pyulog,87502
284,imongo-orm,695
285,plush-fabric,592
286,flask-minioclient,74
287,onfleet,1059
288,xarray-simlab,321
289,basicsums,109
290,odoo11-addon-stock-available-unreserved,189
291,rpcemulator,72
292,realtime,49330
293,dtb-currency,109
294,searchpv,860
295,valer-impress,327
296,qsdsan,2770
297,hslog,3882
298,zotutil,65
299,coco-lib,594
300,dpvs,351
301,setuptools-freeze,176
302,test-inferactively-pymdp,105
303,python-stackdriver-logging-mdp1,387
304,lib-travis,495
305,projetonotebook,897
306,soong,95
307,acousticexport,160
308,odoo13-addon-website-snippet-country-dropdown,62
309,nameko-vault,2397
310,xtoolslib,279
311,oneneuron-pypi-dipdregan,139
312,sdss-cluplus,2743
313,easyselect,861
314,regexploit,4057
315,ansys-openapi-common,1524
316,aiohttp-wsgi,27787
317,qnq,259
318,pyttman,1168
319,nulledapi,229
320,quadratic-sieve,116
321,odoo10-addon-website-cookie-notice,88
322,kt-toposis,194
323,pyindex,262
324,pandas-downcast,1930
325,scabha,1849
326,scatter-downsample,406
327,gitignore-cli,88
328,pyfundamentus,367
329,azure-messaging-webpubsubservice,52775
330,typed-environment-configuration,2337
331,localgraphclustering,351
332,yalambda,278
333,niaaml-gui,294
334,tgsart-mishimastar,261
335,docker-buddy,90
336,bbc1,294
337,incremental-tasks,398
338,hypers-nacos,227
339,sbmlutils,2317
340,route4me,7615
341,how-short,67
342,borgapi,274
343,gccov,179
344,djangorestframework-date-archive,157
345,cas-manifest,448
346,mrcpy,393
347,cpuid,4583
348,idissend,232
349,czsc,4457
350,cfl-common,20067
351,odoo13-addon-mail-chatter-thread-colour,54
352,htruc,2334
353,dasima,296
354,proxylists,1129
355,gapi4term,269
356,retina-face,92998
357,odoo14-addon-product-variant-multi-link,127
358,sexyshell,194
359,yimage,354
360,tklfp,559
361,bscscan-python-testnet,120
362,pybindxml,278
363,nnunet-customized,1306
364,pubsub-py,2087
365,ms2pip,1654
366,pytest-docker-tools,896531
367,refl,55
368,django-mailer,120981
369,pupil-invisible-lsl-relay,634
370,jupyter-omero-authenticator,75
371,jupyter-black,33660
372,pyswitchbee,7274
373,alibabacloud-fc-open20210406,3417
374,nickw-flask-utils,117
375,fcd,2940
376,cppython-vcpkg,3037
377,uniqmin,367
378,cocotbext-axi,10146
379,fw-gear-ants-buildtemplateparallel,56
380,launchd,309
381,smsprofi-client,53
382,mypackage-himansc321,116
383,binpickle,10202
384,odoo8-addon-l10n-it-corrispettivi,122
385,codejail-includes,20499
386,cfwatch,129
387,carbonara-r2,131
388,filterweb,82
389,nfllivepy,186
390,ytcc,633
391,componentvis,142
392,ebel-rest,648
393,django-cas-agn,106
394,stapamrtime,95
395,slack-py,130
396,odoo12-addon-partner-address-version,68
397,mlens,6963
398,webapp2pp,56
399,django-satispaython,153
400,respx,747612
401,jakym,330
402,yeonji,449
403,requests-mock-flask,3453
404,odoo14-addon-l10n-es-ticketbai-pos,321
405,asgi-lifespan,689140
406,coroflow,235
407,subdomain-takeover-tools,1570
408,cma-es,352
409,django-wkhtmltopdf,226085
410,fastapi-sqlalchemy,221564
411,comb-model,256
412,odoo11-addon-stock-pack-operation-auto-fill,178
413,double-indent,257
414,odoo13-addon-mgmtsystem-audit,229
415,asn1,215815
416,dessiccate,266
417,watch-xfce-xfconf,167
418,pymsd,456
419,mitorch,103
420,invisible-watermark,592830
421,tink,4983049
422,k-parse-tool,281
423,nbqa,200926
424,python-openhab-item,161
425,salesforce-bulk-python,707
426,farabio,124
427,onesignal-sdk,138635
428,ls-trace,2111
429,amc2moodle,1190
430,mytoolkit,1087
431,uliweb-menu,50
432,poetryupvers,317
433,release-auditor,57
434,swanculler,98
435,everypolitician-popolo,486
436,arthurai,400168
437,springer,414
438,scet,232
439,importmod,193
440,vimanga,81
441,faker-nonprofit,155
442,psk-escpos,168
443,tudu-cli,53
444,somosweep,214
445,chconsole,177
446,aiomonetaclient,273
447,bl-predictor,221
448,exampledatasets,191
449,amazon-textract-textractor,1166
450,doh-proxy,1555
451,splat,2169
452,torchfuel,197
453,director-tester,79
454,shtu-venus,57
455,pureskillgg-dsdk,2656
456,gimpact,1114
457,evoltree,70
458,asrt,99
459,eduktm,473
460,scrapy-http-pipeline,321
461,sparsemax,1199
462,mypy-boto3-databrew,26012
463,facata,97
464,pdf-bookmark-manager-mbreac,54
465,simpel-journals,122
466,trytond-product-classification-taxonomic,1010
467,yomi,54
468,ddns-client,175
469,finn-dataset-loading,270
470,autolab,432
471,pyonlinesvr,188
472,hellobluenove,102
473,biovenn,221
474,fortlab,806
475,pingtest,79
476,imageseeker,267
477,dasher,157
478,threadloop,2643080
479,mindpowered-englishauction,482
480,frameguard,78
481,canvas-workflow-kit,8228
482,flask-pagedown,17662
483,odoo13-addon-sale-order-general-discount,98
484,manifestoo,3117
485,graphslib,502
486,baloo,60
487,guilded-webhook,2174
488,recoverpy,1146
489,nlp-utils,1173
490,demyst-report,1004
491,django-relativedeltastore,375
492,behance-python3,94
493,sparrow-zoo,425
494,test-message-box-server,95
495,citric,1893
496,quantastica-qiskit-toaster,393
497,textformat,66
498,odoo14-addon-product-code-unique,211
499,flask-getenvvalue,73
